name,year_start,year_end,position,height,weight,birth_date,college,id,Player,collage,born,birth_city,birth_state
Eugene Jeter,2011,2011,G,180,79,December 2, 1983,University of Portland,3419,Eugene Jeter,University of Portland,1983,Los Angeles,California
Hal Jeter,1970,1970,G,6-3,190,May 17, 1945,Drake University
Yi Jianlian,2008,2012,F,213,108,October 27, 1987,,3231,Yi Jianlian,,1987,He Shan,China
Britton Johnsen,2004,2005,F,208,95,July 8, 1979,University of Utah,2945,Britton Johnsen,University of Utah,1979,Salt Lake City,Utah
Alexander Johnson,2007,2008,F,206,108,February 8, 1983,Florida State University,3163,Alexander Johnson,Florida State University,1983,Albany,Georgia
Amir Johnson,2006,2018,F-C,206,108,May 1, 1987,,3080,Amir Johnson,,1987,Los Angeles,California
Andy Johnson,1959,1962,F-G,196,97,November 8, 1932,University of Portland,479,Andy Johnson,University of Portland,1932,Los Angeles,California
Anthony Johnson,1998,2010,G,196,97,October 2, 1974,College of Charleston,2549,Anthony Johnson,University of Portland,1932,Los Angeles,California
Armon Johnson,2011,2012,G,196,107,February 23, 1989,University of Nevada, Reno,3420,Armon Johnson,Bemidji State University,1920,Gonvick,Minnesota
Arnie Johnson,1949,1953,F-C,196,107,May 16, 1920,Bemidji State University,91,Arnie Johnson,Bemidji State University,1920,Gonvick,Minnesota
Avery Johnson,1989,2004,G,178,79,March 25, 1965,Southern University and A&M College,1922,Avery Johnson,Southern University and A&M College,1965,New Orleans,Louisiana
Brice Johnson,2017,2018,F,208,95,June 27, 1994,University of North Carolina,3872,Brice Johnson,University of Utah,1979,Salt Lake City,Utah
Buck Johnson,1987,1993,F,201,86,January 3, 1964,University of Alabama,1792,Buck Johnson,University of Alabama,1964,Birmingham,Alabama
Carldell Johnson,2012,2012,G,178,81,January 28, 1983,University of Alabama at Birmingham,3482,Carldell Johnson,University of Alabama at Birmingham,1983,New Orleans,Louisiana
Charles Johnson,1973,1979,G,183,77,March 31, 1949,University of California,949,Charles Johnson,University of California,1949,Corpus Christi,Texas
Cheese Johnson,1980,1980,F-G,183,77,September 7, 1957,Wichita State University,1365,Cheese Johnson,University of California,1949,Corpus Christi,Texas
Chris Johnson,2011,2013,C,183,77,July 15, 1985,Louisiana State University,3421,Chris Johnson,University of California,1949,Corpus Christi,Texas
Chris Johnson,2013,2016,F-G,183,77,April 29, 1990,University of Dayton,3421,Chris Johnson,University of California,1949,Corpus Christi,Texas
Clay Johnson,1982,1984,G,208,108,July 18, 1956,University of Missouri,1493,Clay Johnson,Florida Agricultural and Mechanical University,1956,Monticello,Florida
Clemon Johnson,1979,1988,C-F,208,108,September 12, 1956,Florida Agricultural and Mechanical University,1312,Clemon Johnson,Florida Agricultural and Mechanical University,1956,Monticello,Florida
Dakari Johnson,2018,2018,C,7-0,255,September 22, 1995,University of Kentucky
Darryl Johnson,1996,1996,G,201,95,October 26, 1965,Michigan State University,2407,Darryl Johnson,Syracuse University,1970,Morgan City,Louisiana
Dave Johnson,1993,1994,G-F,201,95,November 16, 1970,Syracuse University,2208,Dave Johnson,Syracuse University,1970,Morgan City,Louisiana
DeMarco Johnson,2000,2000,F,193,83,October 6, 1975,University of North Carolina at Charlotte,2680,DeMarco Johnson,Pepperdine University,1954,San Pedro,California
Dennis Johnson,1977,1990,G,6-4,185,September 18, 1954,Pepperdine University
DerMarr Johnson,2001,2008,F,193,83,May 5, 1980,University of Cincinnati,2731,DerMarr Johnson,Pepperdine University,1954,San Pedro,California
Ed Johnson,1969,1971,C,6-8,205,June 17, 1944,Tennessee State University
Eddie Johnson,1978,1987,G,203,92,February 24, 1955,Auburn University,1258,Eddie Johnson,Tennessee State University,1944,Atlanta,Georgia
Eddie Johnson,1982,1999,F-G,203,92,May 1, 1959,University of Illinois at Urbana-Champaign,1258,Eddie Johnson,Tennessee State University,1944,Atlanta,Georgia
Eric Johnson,1990,1990,G,188,92,February 7, 1966,University of Nebraska,1999,Eric Johnson,University of Nebraska,1966,Brooklyn,New York
Ervin Johnson,1994,2006,C,188,92,December 21, 1967,University of New Orleans,2282,Ervin Johnson,University of Nebraska,1966,Brooklyn,New York
Frank Johnson,1982,1994,G,185,83,November 23, 1958,Wake Forest University,1494,Frank Johnson,Wake Forest University,1958,Weirsdale,Florida
George Johnson,1971,1974,C,211,111,June 19, 1947,Stephen F. Austin State University,847,George Johnson,Stephen F. Austin State University,1947,Herleton,Texas
George Johnson,1973,1986,C-F,211,111,December 18, 1948,Dillard University,847,George Johnson,Stephen F. Austin State University,1947,Herleton,Texas
George Johnson,1979,1986,F-C,211,111,December 8, 1956,St. John's University,847,George Johnson,Stephen F. Austin State University,1947,Herleton,Texas
Gus Johnson,1964,1973,F-C,6-6,230,December 13, 1938,University of Idaho
Harold Johnson,1947,1947,C,6-6,240,January 30, 1920,Indiana State University
Ivan Johnson,2012,2013,F,203,104,April 10, 1984,University of Oregon,3483,Ivan Johnson,University of Oregon,1984,San Antonio,Texas
JaJuan Johnson,2012,2012,F,206,113,February 8, 1989,Purdue University,3484,JaJuan Johnson,Wake Forest University,1987,Cheyenne,Wyoming
James Johnson,2010,2018,F,206,113,February 20, 1987,Wake Forest University,3367,James Johnson,Wake Forest University,1987,Cheyenne,Wyoming
Joe Johnson,2002,2018,G-F,201,90,June 29, 1981,University of Arkansas,2817,Joe Johnson,University of Iowa,1947,Carthage,Mississippi
John Johnson,1971,1982,F,201,90,October 18, 1947,University of Iowa,848,John Johnson,University of Iowa,1947,Carthage,Mississippi
Kannard Johnson,1988,1988,F,206,99,June 24, 1965,Western Kentucky University,1855,Kannard Johnson,Western Kentucky University,1965,Cincinnati,Ohio
Ken Johnson,1986,1986,F,203,108,November 7, 1962,Michigan State University,1731,Ken Johnson,Michigan State University,1962,Tuskegee,Alabama
Ken Johnson,2003,2003,F-C,203,108,February 1, 1978,Ohio State University,1731,Ken Johnson,Michigan State University,1962,Tuskegee,Alabama
Kevin Johnson,1988,2000,G,203,108,March 4, 1966,University of California,1856,Kevin Johnson,Michigan State University,1962,Tuskegee,Alabama
Larry Johnson,1978,1978,G,190,92,November 28, 1954,University of Kentucky,1259,Larry Johnson,University of Kentucky,1954,Morganfield,Kentucky
Larry Johnson,1992,2001,F,190,92,March 14, 1969,University of Nevada, Las Vegas,1259,Larry Johnson,University of Kentucky,1954,Morganfield,Kentucky
Lee Johnson,1981,1981,F,211,92,June 16, 1957,East Texas State University,1418,Lee Johnson,East Texas State University,1957,Plummerville,Arkansas
Linton Johnson,2004,2009,F,203,92,June 13, 1980,Tulane University,2946,Linton Johnson,Tulane University,1980,Chicago,Illinois
Magic Johnson,1980,1996,G-F,6-9,215,August 14, 1959,Michigan State University
Marques Johnson,1978,1990,F-G,201,98,February 8, 1956,University of California, Los Angeles,1260,Marques Johnson,University of California, Los Angeles,1956,Nachitoches,Louisiana
Mickey Johnson,1975,1986,F,208,86,August 31, 1952,Aurora University,1041,Mickey Johnson,Aurora University,1952,Chicago,Illinois
Neil Johnson,1967,1973,F-C,203,95,April 17, 1943,Creighton University,686,Neil Johnson,Ohio State University,1929,Chillicothe,Ohio
Nick Johnson,2015,2015,G,190,91,December 22, 1992,University of Arizona,3719,Nick Johnson,University of Arizona,1992,Tempe,Arizona
Ollie Johnson,1973,1982,F,198,90,May 11, 1949,Temple University,950,Ollie Johnson,Temple University,1949,Philadelphia,Pennsylvania
Orlando Johnson,2013,2016,G,196,99,March 11, 1989,University of California, Santa Barbara,3558,Orlando Johnson,University of California, Santa Barbara,1989,Monterey,California
Ralph Johnson,1950,1953,G,180,77,December 6, 1921,Huntington University,92,Ralph Johnson,Huntington University,1921,,
Reggie Johnson,1981,1984,F-C,206,92,June 25, 1957,University of Tennessee,1419,Reggie Johnson,University of Tennessee,1957,Atlanta,Georgia
Rich Johnson,1969,1971,C,201,95,December 18, 1946,Grambling State University,765,Rich Johnson,Grambling State University,1946,,
Ron Johnson,1961,1961,F,203,97,July 20, 1938,University of Minnesota,515,Ron Johnson,University of Minnesota,1938,,
Stanley Johnson,2016,2018,F,203,99,May 29, 1996,University of Arizona,3789,Stanley Johnson,Murray State University,1944,Clairton,Pennsylvania
Steffond Johnson,1987,1987,F,203,99,November 4, 1962,San Diego State University,1793,Steffond Johnson,Murray State University,1944,Clairton,Pennsylvania
Steve Johnson,1982,1991,C-F,203,99,November 3, 1957,Oregon State University,1495,Steve Johnson,Murray State University,1944,Clairton,Pennsylvania
Stew Johnson,1968,1976,F-C,6-8,220,August 19, 1944,Murray State University
Trey Johnson,2009,2012,G,196,98,August 30, 1984,Jackson State University,3297,Trey Johnson,Jackson State University,1984,Jackson,Mississippi
Tyler Johnson,2015,2018,G,193,84,May 7, 1992,California State University, Fresno,3720,Tyler Johnson,California State University, Fresno,1992,Grand Forks,North Dakota
Vinnie Johnson,1980,1992,G,188,90,September 1, 1956,Baylor University,1367,Vinnie Johnson,Baylor University,1956,Brooklyn,New York
Wesley Johnson,2011,2018,F-G,201,97,July 11, 1987,Syracuse University,3422,Wesley Johnson,Syracuse University,1987,Corsicana,Texas
Darius Johnson-Odom,2013,2014,G,201,95,September 28, 1989,Marquette University,3559,Darius Johnson-Odom,Syracuse University,1970,Morgan City,Louisiana
Nate Johnston,1990,1990,F,203,95,December 18, 1966,University of Tampa,2000,Nate Johnston,University of Tampa,1966,Birmingham,Alabama
Neil Johnston,1952,1959,C,6-8,210,February 4, 1929,Ohio State University
Jim Johnstone,1983,1983,C-F,211,111,September 20, 1960,Wake Forest University,1552,Jim Johnstone,Wake Forest University,1960,New Canaan,Connecticut
Nikola Jokic,2016,2018,C-F,208,113,February 19, 1995,,3790,Nikola Jokic,,1995,Sombor,Serbia
Howie Jolliff,1961,1963,F-C,203,97,July 20, 1938,Ohio University,516,Howie Jolliff,,1938,,
Alvin Jones,2002,2002,C,211,120,September 9, 1978,Georgia Institute of Technology,2818,Alvin Jones,Georgia Institute of Technology,1978,Luxembourg,Luxembourg
Anthony Jones,1987,1990,G-F,198,88,September 13, 1962,University of Nevada, Las Vegas,1794,Anthony Jones,University of Nevada, Las Vegas,1962,Washington,District of Columbia
Askia Jones,1995,1995,G,196,90,December 3, 1971,Kansas State University,2335,Askia Jones,Kansas State University,1971,Philadelphia,Pennsylvania
Bill Jones,1989,1989,F,201,79,March 18, 1966,University of Iowa,1923,Bill Jones,University of Iowa,1966,Detroit,Michigan
Bobby Jones,1975,1986,F,206,95,December 18, 1951,University of North Carolina,1170,Bobby Jones,University of North Carolina,1951,Charlotte,North Carolina
Bobby Jones,2007,2008,F,206,95,January 9, 1984,University of Washington,1170,Bobby Jones,University of North Carolina,1951,Charlotte,North Carolina
Caldwell Jones,1974,1990,C-F,211,98,August 4, 1950,Albany State University,1171,Caldwell Jones,Albany State University,1950,McGehee,Arkansas
Charles Jones,1984,1998,F-C,206,97,April 3, 1957,Albany State University,1613,Charles Jones,Albany State University,1957,McGehee,Arkansas
Charles Jones,1985,1989,F,206,97,January 12, 1962,University of Louisville,1613,Charles Jones,Albany State University,1957,McGehee,Arkansas
Charles Jones,1999,2000,G,206,97,July 17, 1975,Long Island University,1613,Charles Jones,Albany State University,1957,McGehee,Arkansas
Collis Jones,1972,1975,F,6-7,203,July 3, 1949,University of Notre Dame
Dahntay Jones,2004,2017,G-F,190,83,December 27, 1980,Duke University,2947,Dahntay Jones,University of Houston,1976,Galveston,Texas
Damian Jones,2017,2018,F-C,190,83,June 30, 1995,Vanderbilt University,3873,Damian Jones,University of Houston,1976,Galveston,Texas
Damon Jones,1999,2009,G,190,83,August 25, 1976,University of Houston,2608,Damon Jones,University of Houston,1976,Galveston,Texas
DeQuan Jones,2013,2013,F,203,100,June 20, 1990,University of Miami,3560,DeQuan Jones,University of Miami,1990,Stone Mountain,Georgia
Derrick Jones,2017,2018,F,203,100,February 15, 1997,University of Nevada, Las Vegas,3874,Derrick Jones,University of Miami,1990,Stone Mountain,Georgia
Dominique Jones,2011,2013,G,203,99,October 15, 1988,University of South Florida,3423,Dominique Jones,Mississippi State University,1975,Nashville,Tennessee
Dontae' Jones,1998,1998,F,203,99,June 2, 1975,Mississippi State University,2550,Dontae' Jones,Mississippi State University,1975,Nashville,Tennessee
Dwayne Jones,2006,2010,F-C,208,95,June 9, 1983,Saint Joseph's University,3081,Dwayne Jones,University of Houston,1952,Houston,Texas
Dwight Jones,1974,1983,F-C,208,95,February 27, 1952,University of Houston,999,Dwight Jones,University of Houston,1952,Houston,Texas
Earl Jones,1985,1986,C,213,95,January 13, 1961,University of the District of Columbia,1673,Earl Jones,University of the District of Columbia,1961,Oak Hill,West Virginia
Eddie Jones,1995,2008,G-F,208,102,October 20, 1971,Temple University,2336,Eddie Jones,University of Nevada, Reno,1956,Fort Rucker,Alabama
Edgar Jones,1981,1986,F-C,208,102,June 17, 1956,University of Nevada, Reno,1420,Edgar Jones,University of Nevada, Reno,1956,Fort Rucker,Alabama
Fred Jones,2003,2009,G-F,193,95,March 11, 1979,University of Oregon,2874,Fred Jones,University of Oregon,1979,Malvern,Arkansas
Hutch Jones,1983,1984,F,203,86,September 1, 1959,Vanderbilt University,1553,Hutch Jones,Vanderbilt University,1959,Buffalo,New York
Jake Jones,1972,1972,G,190,81,May 9, 1949,Assumption College,899,Jake Jones,Assumption College,1949,,
Jalen Jones,2018,2018,G,6-7,223,May 27, 1993,Texas A&M University
James Jones,2004,2017,F-G,190,81,October 4, 1980,University of Miami,2948,James Jones,Assumption College,1949,,
Jimmy Jones,1968,1977,G,193,85,January 1, 1945,Grambling State University,1042,Jimmy Jones,Grambling State University,1945,Tallulah,Louisiana
Johnny Jones,1968,1969,F,201,92,March 12, 1943,California State University, Los Angeles,721,Johnny Jones,California State University, Los Angeles,1943,Washington,District of Columbia
Jumaine Jones,2000,2007,F,203,98,February 10, 1979,University of Georgia,2681,Jumaine Jones,University of Georgia,1979,Cocoa,Florida
K.C. Jones,1959,1967,G,6-1,200,May 25, 1932,University of San Francisco
Kevin Jones,2013,2013,F,203,113,August 25, 1989,West Virginia University,3561,Kevin Jones,West Virginia University,1989,Mount Vernon,New York
Larry Jones,1965,1974,G-F,188,81,September 22, 1942,University of Toledo,635,Larry Jones,University of Toledo,1942,Columbus,Ohio
Major Jones,1980,1985,F,206,102,July 9, 1953,Albany State University,1368,Major Jones,Albany State University,1953,McGhee,Arkansas
Mark Jones,1984,1984,G,206,102,April 10, 1961,St. Bonaventure University,1614,Mark Jones,Albany State University,1953,McGhee,Arkansas
Mark Jones,2005,2005,G,206,102,May 25, 1975,University of Central Florida,1614,Mark Jones,Albany State University,1953,McGhee,Arkansas
Nick Jones,1968,1973,G,188,86,March 28, 1945,University of Oregon,722,Nick Jones,University of Oregon,1945,,
Ozell Jones,1985,1986,C-F,211,106,November 20, 1960,California State University, Fullerton,1674,Ozell Jones,California State University, Fullerton,1960,Long Beach,California
Perry Jones,2013,2015,F,211,106,September 24, 1991,Baylor University,3562,Perry Jones,Baylor University,1991,Winnsboro,Louisiana
Popeye Jones,1994,2004,F,203,113,June 17, 1970,Murray State University,2283,Popeye Jones,Murray State University,1970,Dresden,Tennessee
Rich Jones,1970,1977,F-C,198,99,December 27, 1946,University of Memphis,1172,Rich Jones,University of Memphis,1946,Memphis,Tennessee
Robin Jones,1977,1978,F-C,206,102,February 2, 1954,Saint Louis University,1173,Robin Jones,Saint Louis University,1954,St. Louis,Missouri
Sam Jones,1958,1969,G-F,6-4,198,June 24, 1933,North Carolina Central University
Shelton Jones,1989,1989,F,206,95,April 6, 1966,St. John's University,1924,Shelton Jones,St. John's University,1966,Copaigue,New York
Solomon Jones,2007,2014,F,208,104,July 16, 1984,University of South Florida,3164,Solomon Jones,University of South Florida,1984,Eustis,Florida
Steve Jones,1968,1976,G-F,196,92,October 17, 1942,University of Oregon,1094,Steve Jones,University of Oregon,1942,Alexandria,Louisiana
Terrence Jones,2013,2017,F,206,114,January 9, 1992,University of Kentucky,3563,Terrence Jones,University of Kentucky,1992,Portland,Oregon
Tyus Jones,2016,2018,G,188,88,May 10, 1996,Duke University,3791,Tyus Jones,Duke University,1996,Burnsville,Minnesota
Wah Wah Jones,1950,1952,F,6-4,225,July 14, 1926,University of Kentucky
Wali Jones,1965,1976,G,193,102,February 14, 1942,Villanova University,636,Wali Jones,University of Kentucky,1926,Harlan,Kentucky
Wil Jones,1970,1978,F,190,83,February 27, 1947,Albany State University,1174,Wil Jones,Northwestern University,1936,,
Willie Jones,1961,1965,G,190,83,June 29, 1936,Northwestern University,517,Willie Jones,Northwestern University,1936,,
Adonis Jordan,1994,1999,G,180,77,August 21, 1970,University of Kansas,2284,Adonis Jordan,University of Kansas,1970,Brooklyn,New York
Charles Jordan,1976,1976,F,6-8,220,January 31, 1954,Canisius College
DeAndre Jordan,2009,2018,C,211,120,July 21, 1988,Texas A&M University,3298,DeAndre Jordan,Texas A&M University,1988,Houston,Texas
Eddie Jordan,1978,1984,G,185,77,January 29, 1955,Rutgers University,1261,Eddie Jordan,Rutgers University,1955,Washington,District of Columbia
Jerome Jordan,2012,2015,C,213,114,September 29, 1986,University of Tulsa,3485,Jerome Jordan,University of Tulsa,1986,Kingston,Jamaica
Michael Jordan,1985,2003,G-F,6-6,195,February 17, 1963,University of North Carolina
Reggie Jordan,1994,2000,G,193,88,January 26, 1968,New Mexico State University,2285,Reggie Jordan,New Mexico State University,1968,Chicago,Illinois
Thomas Jordan,1993,1993,F-C,208,99,May 23, 1968,Oklahoma State University,2209,Thomas Jordan,Oklahoma State University,1968,Baltimore,Maryland
Walter Jordan,1981,1981,F,201,89,February 19, 1956,Purdue University,1421,Walter Jordan,Purdue University,1956,Perry,Alabama
Phil Jordon,1957,1963,C-F,208,92,September 12, 1933,Whitworth,430,Phil Jordon,Whitworth,1933,Lakeport,California
Johnny Jorgensen,1948,1949,G-F,6-2,185,December 28, 1921,DePaul University
Noble Jorgensen,1947,1953,C,206,103,May 18, 1925,University of Iowa,94,Noble Jorgensen,University of Iowa,1925,,
Roger Jorgensen,1947,1947,C-F,6-5,200,September 2, 1920,Ohio State University
Cory Joseph,2012,2018,G,190,87,August 20, 1991,University of Texas at Austin,3486,Cory Joseph,University of Texas at Austin,1991,Toronto,Canada
Garth Joseph,2001,2001,C,218,142,August 8, 1973,College of Saint Rose,2732,Garth Joseph,College of Saint Rose,1973,Roseau,Dominica
Kris Joseph,2013,2013,F,201,95,December 17, 1988,Syracuse University,3564,Kris Joseph,Syracuse University,1988,Montreal,Canada
Yvon Joseph,1986,1986,C,211,111,October 31, 1957,Georgia Institute of Technology,1732,Yvon Joseph,Georgia Institute of Technology,1957,Cap-Haitian,Haiti
Kevin Joyce,1974,1976,G,6-3,190,June 27, 1951,University of South Carolina
Butch Joyner,1969,1969,F,6-5,200,April 26, 1945,Indiana University
Jeff Judkins,1979,1983,G-F,198,83,March 23, 1956,University of Utah,1313,Jeff Judkins,University of Utah,1956,Salt Lake City,Utah
Whitey Kachan,1949,1949,G,6-2,175,September 15, 1925,DePaul University
George Kaftan,1949,1953,F,190,86,February 22, 1928,College of the Holy Cross,95,George Kaftan,College of the Holy Cross,1928,New York,New York
Ed Kalafat,1955,1957,C-F,198,111,October 13, 1932,University of Minnesota,365,Ed Kalafat,University of Minnesota,1932,,
Chris Kaman,2004,2016,C,213,120,April 28, 1982,Central Michigan University,2949,Chris Kaman,Central Michigan University,1982,Wyoming,Michigan
Frank Kaminsky,2016,2018,F-C,213,109,April 4, 1993,University of Wisconsin,3792,Frank Kaminsky,University of Wisconsin,1993,Winfield,Illinois
Enes Kanter,2012,2018,C,211,111,May 20, 1992,,3487,Enes Kanter,,1992,Zurich,Switzerland
Ralph Kaplowitz,1947,1948,G-F,6-2,170,May 18, 1919,New York University
Jason Kapono,2004,2012,F,203,96,February 4, 1981,University of California, Los Angeles,2950,Jason Kapono,University of California, Los Angeles,1981,Long Beach,California
Tony Kappen,1947,1947,G,5-10,165,April 13, 1919,
Sergey Karasev,2014,2016,G-F,201,94,October 26, 1993,,3644,Sergey Karasev,,1993,St. Petersburg,Russia
Coby Karl,2008,2010,G,196,97,March 6, 1983,Boise State University,3232,Coby Karl,Boise State University,1983,Great Falls,Montana
George Karl,1974,1978,,190,83,May 12, 1952,University of North Carolina,1175,George Karl,University of North Carolina,1952,Penn Hills,Pennsylvania
Ed Kasid,1947,1947,G,5-11,185,August 13, 1923,
Mario Kasun,2005,2006,C,216,117,April 5, 1980,,3007,Mario Kasun,,1980,Split,Croatia
Leo Katkaveck,1949,1950,G,183,83,April 17, 1923,North Carolina State University,96,Leo Katkaveck,North Carolina State University,1923,,
Bob Kauffman,1969,1975,F-C,203,108,July 13, 1946,Guilford College,766,Bob Kauffman,Guilford College,1946,Brooklyn,New York
Sasha Kaun,2016,2016,C,211,117,May 8, 1985,University of Kansas,3793,Sasha Kaun,University of Kansas,1985,Tomsk,Russia
Wilbert Kautz,1947,1947,G-F,6-0,180,September 7, 1915,Loyola University of Chicago
Clarence Kea,1981,1982,F,198,98,February 2, 1959,Lamar University,1422,Clarence Kea,Lamar University,1959,Wilmington,North Carolina
Mike Kearns,1955,1955,G,188,80,June 18, 1929,Princeton University,366,Mike Kearns,Princeton University,1929,Trenton,New Jersey
Tommy Kearns,1959,1959,G,180,83,October 6, 1936,University of North Carolina,481,Tommy Kearns,University of North Carolina,1936,New York,New York
Adam Keefe,1993,2001,F,206,104,February 22, 1970,Stanford University,2210,Adam Keefe,Stanford University,1970,Irvine,California
Harold Keeling,1986,1986,G,193,83,September 18, 1963,Santa Clara University,1733,Harold Keeling,Santa Clara University,1963,New Orleans,Louisiana
Bill Keller,1970,1976,G,5-10,177,August 30, 1947,Purdue University
Gary Keller,1968,1969,F-C,6-9,220,June 13, 1944,University of Florida
Ken Keller,1947,1947,G,6-1,180,August 16, 1922,St. John's University
Rich Kelley,1976,1986,C-F,213,106,March 23, 1953,Stanford University,1095,Rich Kelley,Stanford University,1953,San Mateo,California
Clark Kellogg,1983,1987,F,201,102,July 2, 1961,Ohio State University,1554,Clark Kellogg,Ohio State University,1961,Cleveland,Ohio
Arvesta Kelly,1968,1972,G,6-2,175,November 20, 1945,Lincoln University of Missouri
Jerry Kelly,1947,1948,F,6-2,172,June 14, 1918,Marshall University
Ryan Kelly,2014,2017,F,211,104,April 9, 1991,Duke University,3645,Ryan Kelly,Duke University,1991,Carmel,New York
Tom Kelly,1949,1949,G,6-0,170,March 5, 1924,New York University
Greg Kelser,1980,1985,F,201,86,September 17, 1957,Michigan State University,1369,Greg Kelser,Michigan State University,1957,Panama City,Florida
Ben Kelso,1974,1974,G,190,88,April 11, 1949,Central Michigan University,1000,Ben Kelso,Central Michigan University,1949,,
Shawn Kemp,1990,2003,F-C,208,104,November 26, 1969,Trinity Valley Community College,2001,Shawn Kemp,Trinity Valley Community College,1969,Elkhart,Indiana
Tim Kempton,1987,1998,F-C,208,111,January 25, 1964,University of Notre Dame,1795,Tim Kempton,University of Notre Dame,1964,Jamaica,New York
Frank Kendrick,1975,1975,F,198,89,September 11, 1950,Purdue University,1043,Frank Kendrick,Purdue University,1950,Indianapolis,Indiana
Luke Kennard,2018,2018,G,6-6,206,June 24, 1996,Duke University
D.J. Kennedy,2012,2012,F,211,111,November 5, 1989,St. John's University,3488,D.J. Kennedy,,1992,,
Goo Kennedy,1972,1977,F-C,196,92,August 23, 1949,Texas Christian University,1176,Goo Kennedy,Texas Christian University,1949,Charlotte,North Carolina
Joe Kennedy,1969,1971,F,198,95,January 12, 1947,Duke University,767,Joe Kennedy,Duke University,1947,,
Pickles Kennedy,1961,1961,G,180,81,May 17, 1938,Temple University,518,Pickles Kennedy,Temple University,1938,Philadelphia,Pennsylvania
Larry Kenon,1974,1983,F,206,92,December 13, 1952,University of Memphis,1177,Larry Kenon,University of Memphis,1952,Birmingham,Alabama
Billy Kenville,1954,1960,G-F,188,84,December 1, 1930,St. Bonaventure University,335,Billy Kenville,St. Bonaventure University,1930,Elmhurst,New York
Jonathan Kerner,1999,1999,C,211,111,June 6, 1974,East Carolina University,2609,Jonathan Kerner,East Carolina University,1974,Atlanta,Georgia
Red Kerr,1955,1966,C-F,206,104,July 17, 1932,University of Illinois at Urbana-Champaign,367,Red Kerr,University of Illinois at Urbana-Champaign,1932,Chicago,Illinois
Steve Kerr,1989,2003,G,190,79,September 27, 1965,University of Arizona,1925,Steve Kerr,University of Arizona,1965,Beirut,Lebanon
Jack Kerris,1950,1953,F-C,198,97,January 30, 1925,Loyola University of Chicago,97,Jack Kerris,Loyola University of Chicago,1925,,
Jerome Kersey,1985,2001,F,201,97,June 26, 1962,Longwood University,1676,Jerome Kersey,Longwood University,1962,Clarksville,Virginia
Tom Kerwin,1968,1968,F,6-7,210,July 7, 1944,Centenary College of Louisiana
Alec Kessler,1991,1994,F-C,211,104,January 13, 1967,University of Georgia,2083,Alec Kessler,University of Georgia,1967,Minneapolis,Minnesota
Lari Ketner,2000,2001,F-C,206,125,February 1, 1977,University of Massachusetts Amherst,2682,Lari Ketner,University of Massachusetts Amherst,1977,Philadelphia,Pennsylvania
Julius Keye,1970,1975,F-C,6-10,200,September 5, 1946,Alcorn State University
Randolph Keys,1989,1996,F-G,201,88,April 19, 1966,University of Southern Mississippi,1926,Randolph Keys,University of Southern Mississippi,1966,Collins,Mississippi
Viktor Khryapa,2005,2008,F,206,95,August 3, 1982,,3008,Viktor Khryapa,,1982,Kiev,Ukraine
Jason Kidd,1995,2013,G,193,92,March 23, 1973,University of California,2337,Jason Kidd,University of California,1973,San Francisco,California
Warren Kidd,1994,1994,F,206,106,September 9, 1970,Middle Tennessee State University,2286,Warren Kidd,Middle Tennessee State University,1970,Harpersville,Alabama
Michael Kidd-Gilchrist,2013,2018,F,201,105,September 26, 1993,University of Kentucky,3565,Michael Kidd-Gilchrist,University of Kentucky,1993,Philadelphia,Pennsylvania
Irv Kiffin,1980,1980,F,206,102,August 8, 1951,Oklahoma Baptist University,1370,Irv Kiffin,Oklahoma Baptist University,1951,New York,New York
Jack Kiley,1952,1953,G,185,77,January 5, 1929,Syracuse University,266,Jack Kiley,Syracuse University,1929,,
Earnie Killum,1971,1971,G,190,81,June 11, 1948,Stetson University,849,Earnie Killum,Stetson University,1948,,
Carl Kilpatrick,1980,1980,C,208,104,May 16, 1956,University of Louisiana at Monroe,1371,Carl Kilpatrick,University of Louisiana at Monroe,1956,Bastrop,Louisiana
Sean Kilpatrick,2015,2018,G,193,95,January 6, 1990,University of Cincinnati,3721,Sean Kilpatrick,University of Cincinnati,1990,Yonkers,New York
Toby Kimball,1967,1975,F-C,198,99,September 7, 1942,University of Connecticut,687,Toby Kimball,University of Connecticut,1942,Framingham,Massachusetts
Bo Kimble,1991,1993,G,193,86,April 9, 1966,Loyola Marymount University,2084,Bo Kimble,Loyola Marymount University,1966,Philadelphia,Pennsylvania
Stan Kimbrough,1990,1993,G,180,69,April 24, 1966,Xavier University,2002,Stan Kimbrough,Xavier University,1966,Tuscaloosa,Alabama
Chad Kinch,1981,1981,G,193,86,May 22, 1958,University of North Carolina at Charlotte,1423,Chad Kinch,University of North Carolina at Charlotte,1958,Perth Amboy,New Jersey
Albert King,1982,1992,F-G,198,86,December 17, 1959,University of Maryland,1496,Albert King,University of Maryland,1959,Brooklyn,New York
Bernard King,1978,1993,F,6-7,205,December 4, 1956,University of Tennessee
Chris King,1994,1999,F,203,97,July 24, 1969,Wake Forest University,2287,Chris King,Wake Forest University,1969,Newton Grove,North Carolina
Dan King,1955,1955,F,198,99,January 7, 1931,Western Kentucky University,368,Dan King,Western Kentucky University,1931,,
Frankie King,1996,1997,G,185,83,June 6, 1972,Western Carolina University,2408,Frankie King,Western Carolina University,1972,Baxley,Georgia
George King,1952,1958,G,183,79,August 16, 1928,University of Charleston,267,George King,University of Charleston,1928,Charleston,West Virginia
